Model,Features,MeanAbsoluteError,NumViolations,MaxViolations,MonotonicityScore
1-NN,Scheme,0.0071,52,780,0.9333
1-NN,Scheme + Quantitative 3 epochs,0.0085,55,780,0.9295
1-NN,Scheme + Quantitative 6 epochs,0.007,47,780,0.9397
1-NN,Scheme + Quantitative 9 epochs,0.0059,32,780,0.959
3-NN,Scheme,0.0088,64,780,0.9179
3-NN,Scheme + Quantitative 3 epochs,0.0068,44,780,0.9436
3-NN,Scheme + Quantitative 6 epochs,0.0074,39,780,0.95
3-NN,Scheme + Quantitative 9 epochs,0.0068,38,780,0.9513
5-NN,Scheme,0.0098,72,780,0.9077
5-NN,Scheme + Quantitative 3 epochs,0.0084,45,780,0.9423
5-NN,Scheme + Quantitative 6 epochs,0.0073,46,780,0.941
5-NN,Scheme + Quantitative 9 epochs,0.0068,40,780,0.9487
7-NN,Scheme,0.0093,71,780,0.909
7-NN,Scheme + Quantitative 3 epochs,0.0075,39,780,0.95
7-NN,Scheme + Quantitative 6 epochs,0.0071,38,780,0.9513
7-NN,Scheme + Quantitative 9 epochs,0.0065,30,780,0.9615
9-NN,Scheme,0.0098,67,780,0.9141
9-NN,Scheme + Quantitative 3 epochs,0.0088,45,780,0.9423
9-NN,Scheme + Quantitative 6 epochs,0.0067,31,780,0.9603
9-NN,Scheme + Quantitative 9 epochs,0.0066,38,780,0.9513
Linear Regression,Scheme,0.0169,64,780,0.9179
Linear Regression,Scheme + Quantitative 3 epochs,0.0089,58,780,0.9256
Linear Regression,Scheme + Quantitative 6 epochs,0.0078,46,780,0.941
Linear Regression,Scheme + Quantitative 9 epochs,0.0069,45,780,0.9423
Linear Regression D=0.5,Scheme,0.0155,63,780,0.9192
Linear Regression D=0.5,Scheme + Quantitative 3 epochs,0.0083,53,780,0.9321
Linear Regression D=0.5,Scheme + Quantitative 6 epochs,0.0072,45,780,0.9423
Linear Regression D=0.5,Scheme + Quantitative 9 epochs,0.0064,41,780,0.9474
Linear Regression D=0.25,Scheme,0.0132,63,780,0.9192
Linear Regression D=0.25,Scheme + Quantitative 3 epochs,0.0084,51,780,0.9346
Linear Regression D=0.25,Scheme + Quantitative 6 epochs,0.0074,45,780,0.9423
Linear Regression D=0.25,Scheme + Quantitative 9 epochs,0.0062,41,780,0.9474
Decision Tree,Scheme,0.0073,54,780,0.9308
Decision Tree,Scheme + Quantitative 3 epochs,0.0073,55,780,0.9295
Decision Tree,Scheme + Quantitative 6 epochs,0.0083,59,780,0.9244
Decision Tree,Scheme + Quantitative 9 epochs,0.0071,52,780,0.9333
Gradient Boosting (N=25),Scheme,0.009,44,780,0.9436
Gradient Boosting (N=25),Scheme + Quantitative 3 epochs,0.0076,37,780,0.9526
Gradient Boosting (N=25),Scheme + Quantitative 6 epochs,0.0061,38,780,0.9513
Gradient Boosting (N=25),Scheme + Quantitative 9 epochs,0.0058,33,780,0.9577
Gradient Boosting (N=50),Scheme,0.0071,47,780,0.9397
Gradient Boosting (N=50),Scheme + Quantitative 3 epochs,0.006,35,780,0.9551
